zenodo_id	title	url	data_type	prob_eye_imaging	img_files	archives	size_mb
5210069	Cephalastor humeralis Garcete-Barrett & Hermes 2010, n. sp.	https://zenodo.org/records/5210069	related_dataset	0.869	0	0	0.0
2620726	Figure 6 from: Sukparangsi W, Pochai A, Wongkunanusorn C, Khachonpisitsak S (2019) Discovery of Neonrosella vitiata (Darwin) and Newmanella spinosus C	https://zenodo.org/records/2620726	data_files	0.867	1	0	0.6
4362542	Ogmocoris hypomelas : MAYR 1866	https://zenodo.org/records/4362542	related_dataset	0.865	0	0	0.0
8075195	AstroFatheddin/Roman-Multi-Planetary-data: v1.0	https://zenodo.org/records/8075195	data_files	0.865	0	1	97.0
3832094	Measurement of Absolute Retinal Blood Flow Using a Laser Doppler Velocimeter Combined with Adaptive Optics	https://zenodo.org/records/3832094	data_files	0.864	0	2	1322.6
4636514	FIGURE 5 in Eubostrichopsis johnpearsei n. gen., n. sp., the first stilbonematid nematode (Nematoda, Desmodoridae) from the US West Coast	https://zenodo.org/records/4636514	data_files	0.864	1	0	0.9
5912949	FiloMap test dataset	https://zenodo.org/records/5912949	data_files	0.862	0	1	77.6
13258829	Fig. 15 in Systematic revision of the Potamotrygon motoro (Müller & Henle, 1841) species complex in the Paraná-Paraguay basin, with description of two	https://zenodo.org/records/13258829	data_files	0.861	1	0	2.0
187885	FIGURE 4 in Hemitriakis indroyonoi sp. nov., a new species of houndshark from Indonesia (Carcharhiniformes: Triakidae)	https://zenodo.org/records/187885	data_files	0.86	1	0	0.8
211073	FIGURE 12 in New and lesser known species of Chrysopetalidae, Phyllodocidae and Syllidae from south California (Phyllodocida, Aciculata, Annelida)	https://zenodo.org/records/211073	data_files	0.859	1	0	1.0
15116181	Evaluation strategy for image acquisition protocols in confocal microscopy mosaic imaging of the cornea	https://zenodo.org/records/15116181	data_files	0.858	0	4	5253.8
11188503	Short-Exposure Transmission Electron Microscopy of Cilia	https://zenodo.org/records/11188503	data_files	0.858	2	0	30.7
4402326	Caecum magellanicum	https://zenodo.org/records/4402326	related_dataset	0.857	0	0	0.0
10544430	Ambohima GRISWOLD 1990	https://zenodo.org/records/10544430	related_dataset	0.857	0	0	0.0
8356537	"Supporting data for ""A new method for in vivo assessment of corneal transparency using spectral-domain OCT"""	https://zenodo.org/records/8356537	data_files	0.856	0	3	77.7
5210760	FIG. 57 in Alcidedorbignya inopinata, a basal pantodont (Placentalia, Mammalia) from the early Palaeocene of Bolivia: anatomy, phylogeny and palaeobio	https://zenodo.org/records/5210760	data_files	0.855	1	0	0.5
5415716	FIG. 24 in Caudal Cranium Of Thylacosmilus Atrox (Mammalia, Metatheria, Sparassodonta), A South American Predaceous Sabertooth	https://zenodo.org/records/5415716	data_files	0.854	1	0	8.9
1161643	Fig 7 in Biodiversity and Biogeography of Chthamalid Barnacles from the North-Eastern Pacific (Crustacea Cirripedia)	https://zenodo.org/records/1161643	data_files	0.853	1	0	3.9
14505724	Zeiss Lattice Light Sheet 7 Point Spread Functions and example dataset	https://zenodo.org/records/14505724	data_files	0.853	56	0	4948.2
7572397	453. Large vessel vasculitis – a pain in the neck	https://zenodo.org/records/7572397	data_files	0.852	1	0	6.0
7678656	Topological characterization of the retinal microvascular network visualized by portable fundus camera- effects of chronic disease (TREND2)  database	https://zenodo.org/records/7678656	data_files	0.851	0	4	85.9
5354770	Fig. 27 in New Data On The Skull And Dentition In The Mongolian Late Cretaceous Eutherian Mammal Zalambdalestes	https://zenodo.org/records/5354770	data_files	0.851	1	0	0.4
182805	FIGURE 5 in A review of the Australian skate genus Pavoraja Whitley (Rajiformes: Arhynchobatidae)	https://zenodo.org/records/182805	data_files	0.85	1	0	0.2
7944079	PCA involvement subtypes	https://zenodo.org/records/7944079	data_files	0.848	1	0	1.5
8276410	Cube Plenoptic Dataset	https://zenodo.org/records/8276410	data_files	0.848	1	2	1654.0
